No,Condition,Modification,Non labelled feature m/z,Modified m/z,Feature m/z,Original SIRIUS ID,SIRIUS_molecularFormula,SIRIUS_adduct,SIRIUS_precursorFormula,SIRIUS_NPC_pathway,SIRIUS_NPC_pathway_Probability,SIRIUS_NPC_superclass,SIRIUS_NPC_superclass_Probability,SIRIUS_NPC_class,SIRIUS_NPC_class_Probability,SIRIUS_ClassyFire_superclass,SIRIUS_ClassyFire_superclass_probability,SIRIUS_ClassyFire_class,SIRIUS_ClassyFire_class_Probability,SIRIUS_ClassyFire_subclass,SIRIUS_ClassyFire_subclass_Probability,SIRIUS_ClassyFire_level_5,SIRIUS_ClassyFire_level_5_Probability,SIRIUS_ClassyFire_most_specific_class,SIRIUS_ClassyFire_most_specific_class_Probability,SIRIUS_ClassyFire_all_classifications,SIRIUS_ionMass,SIRIUS_M+3D,SIRIUS_M+4D,SIRIUS_M+5D,mzmine_ID,area,rt,mz,height,S4_EtNH2_1uL_mzML_area,S4_EtNH2_1uL_mzML_rt,S4_EtNH2_1uL_mzML_mz,S4_EtNH2_1uL_mzML_height,S13_EthylNH2_1uL_mzML_area,S13_EthylNH2_1uL_mzML_rt,S13_EthylNH2_1uL_mzML_mz,S13_EthylNH2_1uL_mzML_height,S10_Ctrl_1uL_mzML_area,S10_Ctrl_1uL_mzML_rt,S10_Ctrl_1uL_mzML_mz,S10_Ctrl_1uL_mzML_height,S14_EthylNH2_1uL_mzML_area,S14_EthylNH2_1uL_mzML_rt,S14_EthylNH2_1uL_mzML_mz,S14_EthylNH2_1uL_mzML_height,S5_EtNH2_1uL_mzML_area,S5_EtNH2_1uL_mzML_rt,S5_EtNH2_1uL_mzML_mz,S5_EtNH2_1uL_mzML_height,S11_CTRL_1uL_mzML_area,S11_CTRL_1uL_mzML_rt,S11_CTRL_1uL_mzML_mz,S11_CTRL_1uL_mzML_height,S12_CTRL_1uL_mzML_area,S12_CTRL_1uL_mzML_rt,S12_CTRL_1uL_mzML_mz,S12_CTRL_1uL_mzML_height,S15_EthylNH2_1uL_mzML_area,S15_EthylNH2_1uL_mzML_rt,S15_EthylNH2_1uL_mzML_mz,S15_EthylNH2_1uL_mzML_height,S6_EtNH2_1uL_mzML_area,S6_EtNH2_1uL_mzML_rt,S6_EtNH2_1uL_mzML_mz,S6_EtNH2_1uL_mzML_height
30,ethanolamine,SIRIUS_M+3D,554.31107,557.32988,557.32992,2029,C32H43NO7,[M + H]+,C32H44NO7+,Alkaloids,0.905,Pseudoalkaloids (transamidation),0.955,Terpenoid alkaloids,0.868,Lipids and lipid-like molecules,0.821,Prenol lipids,0.622,Diterpenoids,0.689,,,Diterpenoids,0.689,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",554.311,557.32988,558.33615,559.34242,2592,12000,6.8414,557.32992,319000,12000,6.8413,557.33,319000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,6.8414,557.32984,44700
31,ethanolamine,SIRIUS_M+3D,600.31659,603.3354,603.33506,2147,C33H45NO9,[M + H]+,C33H46NO9+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.964,Prenol lipids,0.981,Diterpenoids,0.989,Aconitane-type diterpenoid alkaloids,0.991,Aconitane-type diterpenoid alkaloids,0.991,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",600.317,603.3354,604.34167,605.34794,2746,110000,7.4599,603.33506,2980000,110000,7.4601,603.33505,2980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,7.4596,603.33508,19600
32,ethanolamine,SIRIUS_M+3D,616.31129,619.3301,619.32965,2186,C33H45NO10,[M + H]+,C33H46NO10+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.971,Prenol lipids,0.987,Diterpenoids,0.995,Aconitane-type diterpenoid alkaloids,0.997,Aconitane-type diterpenoid alkaloids,0.997,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",616.311,619.3301,620.33637,621.34264,2796,52600,7.677,619.32965,1300000,52600,7.677,619.32965,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ethanolamine,SIRIUS_M+3D,600.31646,603.33527,603.33503,2263,C33H45NO9,[M + H]+,C33H46NO9+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.943,Prenol lipids,0.969,Diterpenoids,0.984,Aconitane-type diterpenoid alkaloids,0.975,Aconitane-type diterpenoid alkaloids,0.975,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",600.316,603.33527,604.34154,605.34781,2901,9180,8.0677,603.33503,235000,9180,8.0677,603.33503,235000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ethanolamine,SIRIUS_M+3D,630.32699,633.3458,633.34558,2274,C34H47NO10,[M + H]+,C34H48NO10+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.971,Prenol lipids,0.989,Diterpenoids,0.996,Aconitane-type diterpenoid alkaloids,0.996,Aconitane-type diterpenoid alkaloids,0.996,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",630.327,633.3458,634.35207,635.35834,2908,260000,8.1084,633.34558,6960000,260000,8.1108,633.34559,6960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13700,8.106,633.34556,306000
34,ethanolamine,SIRIUS_M+4D,630.32699,634.35207,634.34892,2274,C34H47NO10,[M + H]+,C34H48NO10+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.971,Prenol lipids,0.989,Diterpenoids,0.996,Aconitane-type diterpenoid alkaloids,0.996,Aconitane-type diterpenoid alkaloids,0.996,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",630.327,633.3458,634.35207,635.35834,2909,88600,8.1138,634.34892,2470000,88600,8.1108,634.34898,2470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820,8.1168,634.34886,151000
35,ethanolamine,SIRIUS_M+3D,646.32181,649.3406200000001,649.33985,2290,C34H47NO11,[M + H]+,C34H48NO11+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.973,Prenol lipids,0.988,Diterpenoids,0.996,Aconitane-type diterpenoid alkaloids,0.997,Aconitane-type diterpenoid alkaloids,0.997,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",646.322,649.3406200000001,650.34689,651.35316,2923,2980000,8.1396,649.33985,77200000,2980000,8.1417,649.33983,77200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000,8.1376,649.33988,10600000
36,ethanolamine,SIRIUS_M+3D,600.31659,603.3354,603.33525,2312,C33H45NO9,[M + H]+,C33H46NO9+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.968,Prenol lipids,0.983,Diterpenoids,0.992,Aconitane-type diterpenoid alkaloids,0.994,Aconitane-type diterpenoid alkaloids,0.994,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",600.317,603.3354,604.34167,605.34794,2958,74900,8.2623,603.33525,2010000,74900,8.2647,603.33528,2010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9090,8.2599,603.33523,249000
37,ethanolamine,SIRIUS_M+3D,614.33226,617.35107,617.35073,2361,C34H47NO9,[M + H]+,C34H48NO9+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.947,Prenol lipids,0.961,Diterpenoids,0.97,Aconitane-type diterpenoid alkaloids,0.984,Aconitane-type diterpenoid alkaloids,0.984,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",614.332,617.35107,618.35734,619.36361,3030,470000,8.546,617.35073,11700000,470000,8.5472,617.35062,11700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26200,8.5449,617.35083,567000
38,ethanolamine,SIRIUS_M+3D,630.32716,633.3459700000001,633.34532,2372,C34H47NO10,[M + H]+,C34H48NO10+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.971,Prenol lipids,0.986,Diterpenoids,0.994,Aconitane-type diterpenoid alkaloids,0.996,Aconitane-type diterpenoid alkaloids,0.996,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",630.327,633.3459700000001,634.35224,635.35851,3048,1440000,8.6502,633.34532,36400000,1440000,8.6538,633.3452,36400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416000,8.6466,633.34545,9780000
39,ethanolamine,SIRIUS_M+3D,614.33204,617.35085,617.35072,2422,C34H47NO9,[M + H]+,C34H48NO9+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.956,Prenol lipids,0.974,Diterpenoids,0.983,Aconitane-type diterpenoid alkaloids,0.989,Aconitane-type diterpenoid alkaloids,0.989,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",614.332,617.35085,618.35712,619.36339,3122,94000,9.1985,617.35072,2100000,94000,9.2126,617.3508,2100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23400,9.1844,617.35065,529000
39,ethanolamine,SIRIUS_M+4D,614.33204,618.35712,618.35406,2422,C34H47NO9,[M + H]+,C34H48NO9+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.956,Prenol lipids,0.974,Diterpenoids,0.983,Aconitane-type diterpenoid alkaloids,0.989,Aconitane-type diterpenoid alkaloids,0.989,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",614.332,617.35085,618.35712,619.36339,3127,31900,9.2039,618.35406,659000,31900,9.2126,618.3541,659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4420,9.1952,618.35401,189000
40,ethanolamine,SIRIUS_M+3D,598.33719,601.356,601.35586,2432,C34H47NO8,[M + H]+,C34H48NO8+,Alkaloids,0.998,Pseudoalkaloids (transamidation),0.998,Terpenoid alkaloids,0.999,Lipids and lipid-like molecules,0.89,Prenol lipids,0.926,Diterpenoids,0.943,Aconitane-type diterpenoid alkaloids,0.942,Aconitane-type diterpenoid alkaloids,0.942,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",598.337,601.356,602.36227,603.3685399999999,3140,50100,9.2471,601.35586,1210000,50100,9.2524,601.35606,1210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,9.2418,601.35567,33300
41,"ethanolamine, ethylamine",SIRIUS_M+4D,344.25842,348.28351,348.283,1257,C22H33NO2,[M + H]+,C22H34NO2+,Alkaloids,0.95,Pseudoalkaloids (transamidation),0.983,Steroidal alkaloids,0.614,Lipids and lipid-like molecules,0.828,Steroids and steroid derivatives,0.735,Hydroxysteroids,0.515,,,Hydroxysteroids,0.515,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Steroids and steroid derivatives; Organonitrogen compounds; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Trialkylamines; Amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,344.258,347.27724,348.28351,349.28979,1605,27300000,4.8952,348.28316,626000000,27300000,4.8779,348.28294,626000000,1530,4.9057,348.28363,80300,,,,,,,,,1270000,4.8962,348.28308,26000000,,,,,,,,,,,,,5330000,4.9012,348.28298,107000000
41,ethanolamine,SIRIUS_M+3D,344.25842,347.27724,347.2768,1257,C22H33NO2,[M + H]+,C22H34NO2+,Alkaloids,0.95,Pseudoalkaloids (transamidation),0.983,Steroidal alkaloids,0.614,Lipids and lipid-like molecules,0.828,Steroids and steroid derivatives,0.735,Hydroxysteroids,0.515,,,Hydroxysteroids,0.515,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Steroids and steroid derivatives; Organonitrogen compounds; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Trialkylamines; Amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,344.258,347.27724,348.28351,349.28979,1607,1620000,4.8951,347.2769,34900000,1620000,4.8779,347.27693,34900000,,,,,,,,,,,,,71300,4.9064,347.2768,1430000,,,,,,,,,,,,,434000,4.9012,347.27696,8710000
